symbol,ZSTAT,P
CCDC83,2.3751,0.0087729
PROX1,2.3744,0.0087879
CENPL,2.3727,0.0088304
DMRTA2,2.3712,0.0088656
ZMAT5,2.3697,0.0089015
TH,2.367,0.008967
RHOA,2.3658,0.0089945
CCAR1,2.3638,0.009044
UQCR10,2.3634,0.0090534
TUBGCP4,2.3614,0.0091037
AKR7A3,2.3609,0.0091148
KRT8,2.3588,0.0091673
DENND5A,2.3567,0.0092199
PRSS3,2.3546,0.0092715
NPR3,2.3536,0.0092951
HMBS,2.353,0.0093111
DEDD,2.3522,0.0093318
USP4,2.3513,0.0093542
SERF2,2.3508,0.0093667
CENPM,2.3506,0.0093719
PPP2R1B,2.3478,0.0094413
HSBP1,2.3476,0.0094462
CREB5,2.3473,0.0094552
TCTA,2.3446,0.009523
CHRM3,2.3391,0.0096654
GSG1,2.3383,0.0096868
SIK2,2.3344,0.009787
TMEM132E,2.3311,0.0098747
GPR151,2.3294,0.0099199
IL18RAP,2.3281,0.0099521
DARS2,2.3257,0.010018
CDC42EP5,2.3251,0.010033
CLEC4D,2.3251,0.010035
CREBZF,2.3235,0.010075
GIPC3,2.3211,0.01014
KCNN3,2.3143,0.010326
TMEM126A,2.3114,0.010405
ADRB1,2.3112,0.010412
MYL2,2.3087,0.010481
C11orf58,2.3074,0.010516
PHOX2B,2.3052,0.010578
RNF207,2.3041,0.010609
CACYBP,2.3035,0.010626
C5orf47,2.3033,0.01063
HOXC8,2.3003,0.010715
PANK1,2.3003,0.010716
FOXB2,2.2996,0.010735
HYOU1,2.299,0.010751
INS,2.2984,0.01077
SUCLG2,2.2973,0.0108
KDELR3,2.2965,0.010824
AMT,2.294,0.010896
TOMM40,2.2934,0.010913
B3GALT2,2.2929,0.010927
SAFB,2.2929,0.010928
NICN1,2.2915,0.010967
BNIP3L,2.2895,0.011024
CRTC1,2.2887,0.011049
GZMB,2.2842,0.011179
MFI2,2.2819,0.011248
TARBP2,2.2817,0.011254
DAG1,2.2813,0.011264
EVX1,2.2803,0.011294
FANCI,2.2789,0.011336
VPS11,2.277,0.011392
