symbol,ZSTAT,P
DALRD3,2.2989,0.010755
SLC7A10,2.2975,0.010796
LOC101927420,2.2945,0.010882
TMEM30A,2.2927,0.010932
C3orf62,2.2887,0.01105
TXNDC8,2.2845,0.011171
AMFR,2.2837,0.011193
NUDT21,2.2808,0.011281
NREP,2.2791,0.011329
RBMXL1,2.2785,0.011348
HNRNPR,2.2742,0.011477
PIM1,2.273,0.011513
GTF2E2,2.271,0.011574
GATA5,2.269,0.011634
CCNG1,2.2686,0.011647
P4HA3,2.2684,0.011652
ART4,2.2678,0.01167
DYNLT1,2.2677,0.011675
ENTPD6,2.2665,0.01171
STXBP6,2.2634,0.011804
BCL2A1,2.2607,0.01189
C3orf84,2.2574,0.011992
CALM3,2.2572,0.011996
ZNF444,2.2572,0.011998
TTC1,2.2525,0.012145
NLRC3,2.2523,0.012152
TSPAN15,2.2465,0.012338
CPB2,2.2441,0.012414
ZBTB38,2.243,0.012449
DTWD1,2.2417,0.012491
PDGFRB,2.2404,0.012531
SND1,2.2397,0.012554
TP73,2.2378,0.012618
WDR5B,2.237,0.012642
NLRP6,2.2361,0.012671
IMPDH2,2.2359,0.012679
GTF2I,2.2357,0.012684
SLC9A4,2.23,0.012874
RASGEF1B,2.229,0.012908
SMIM18,2.2285,0.012923
IQCK,2.2256,0.013019
BIVM,2.2248,0.013047
EXOC3L2,2.2217,0.013153
SMCO3,2.221,0.013176
TRIML1,2.2199,0.013213
CYP4F12,2.2169,0.013314
SLC39A14,2.2129,0.013451
BCL6B,2.2128,0.013455
ECM1,2.2117,0.013495
SLC27A5,2.2108,0.013524
KLKB1,2.2081,0.013619
ZNF697,2.2056,0.013706
RTN4RL1,2.2049,0.01373
XPO1,2.2047,0.013739
TARS2,2.2028,0.013805
SLC8A1,2.199,0.013939
TLL1,2.1968,0.014017
ALDH3B1,2.1924,0.014177
SCO1,2.1893,0.014288
RTEL1,2.1873,0.014361
TM9SF4,2.1852,0.014439
MGP,2.1844,0.014466
ATHL1,2.1815,0.014572
PGLYRP2,2.1802,0.01462
CABP7,2.1785,0.014683
PHOX2A,2.1777,0.014712
SPDEF,2.1773,0.014728
GRXCR1,2.1714,0.014952
CERCAM,2.1681,0.015074
SCTR,2.1665,0.015137
RALA,2.1659,0.01516
CDC123,2.1658,0.015163
NKAIN3,2.1629,0.015276
RCOR2,2.1621,0.015307
GPRC5B,2.159,0.015423
NDUFAF3,2.1566,0.015517
FAM175B,2.1559,0.015545
HES7,2.154,0.015619
ADPRM,2.1539,0.015623
SPZ1,2.1516,0.015714
ALOXE3,2.1515,0.015719
USP4,2.1507,0.015751
KDM3B,2.1483,0.015843
CMYA5,2.1475,0.015877
ADSSL1,2.147,0.015899
PDXK,2.1454,0.01596
ARL8A,2.1452,0.015969
C2CD2L,2.1446,0.015993
BRPF3,2.1446,0.015993
RNF125,2.1445,0.015997
SRMS,2.143,0.016056
ZNF135,2.1413,0.016126
MARK4,2.1407,0.016147
HMBOX1,2.1373,0.016288
KNOP1,2.1365,0.016318
CERKL,2.1358,0.016349
LRRC38,2.1357,0.016352
GALP,2.1356,0.016356
SERP2,2.1314,0.016527
SPAG6,2.1285,0.016647
DDX10,2.1281,0.016666
IFNAR1,2.128,0.01667
CEP250,2.1265,0.016729
SIVA1,2.1261,0.016748
POC1B-GALNT4,2.1259,0.016757
GALNT4,2.1259,0.016757
LANCL2,2.1252,0.016786
POM121C,2.1215,0.01694
FRYL,2.1215,0.016941
PRMT6,2.1214,0.016945
ASAP3,2.114,0.017256
NOP14,2.1125,0.01732
PLCH1,2.1124,0.017328
C17orf49,2.1113,0.017373
VN1R5,2.1086,0.017488
ODF2,2.1084,0.0175
LDAH,2.1073,0.017545
SHISA8,2.1072,0.017548
PDYN,2.1072,0.017552
RPRD2,2.1065,0.01758
SPDYE5,2.1038,0.017698
RNASEK,2.102,0.017775
TNFRSF6B,2.1014,0.017805
PRR23B,2.0993,0.017896
HYKK,2.0991,0.017905
