symbol,ZSTAT,P
TMPRSS11A,2.4267,0.0076191
GOSR2,2.4256,0.0076406
MYLK4,2.4256,0.0076425
ALG12,2.4227,0.0077022
LYAR,2.4223,0.0077108
ALG6,2.4175,0.007814
ETAA1,2.4163,0.0078385
C2orf74,2.4128,0.0079144
PRSS57,2.4118,0.0079378
EME2,2.41,0.0079765
SNRPA,2.4096,0.007986
CTNNB1,2.4071,0.0080396
LMO7,2.4056,0.0080734
GTPBP10,2.4048,0.0080905
ZNF613,2.4043,0.0081025
PALM,2.3962,0.0082822
TRIM35,2.3953,0.0083043
MAML3,2.3952,0.0083062
DEFB116,2.395,0.0083091
SFMBT1,2.3924,0.0083686
APOC2,2.3892,0.0084423
LMO7DN,2.386,0.0085174
ARHGEF33,2.3853,0.0085335
EDEM2,2.3844,0.008554
JMJD1C,2.3823,0.0086026
APOC4,2.3792,0.0086741
OPTN,2.3764,0.0087405
CCDC175,2.3747,0.0087811
MTFMT,2.3711,0.0088679
GBA2,2.3663,0.0089838
SPOP,2.3658,0.0089945
B3GALNT1,2.3617,0.0090947
C19orf70,2.3586,0.0091714
ANO9,2.3562,0.009231
RAB4B,2.3554,0.0092516
IGSF11,2.3476,0.0094482
PAMR1,2.3453,0.0095054
CSF2,2.3416,0.0096016
TECPR2,2.3363,0.0097388
BUD31,2.3358,0.0097496
ADRA2B,2.333,0.0098241
GLB1L2,2.3327,0.0098324
SUV420H1,2.3322,0.009845
ARPC1A,2.3251,0.010033
KCNH6,2.3221,0.010114
CLASP2,2.3216,0.010128
AP3B2,2.3197,0.010179
SLC38A8,2.3185,0.01021
PTPN13,2.3181,0.010222
MYRIP,2.318,0.010224
HS3ST6,2.3166,0.010263
KCNJ12,2.3152,0.0103
ZNF350,2.3136,0.010344
CCDC38,2.3107,0.010425
PASK,2.3094,0.010461
DDX55,2.3089,0.010475
PCNXL4,2.3076,0.010511
P4HA2,2.3071,0.010524
STAB1,2.3058,0.010561
IL3,2.3057,0.010563
CLPTM1,2.3025,0.010652
UGGT1,2.3009,0.010699
CATSPERD,2.3005,0.010709
THAP6,2.2997,0.010732
ADAMTS2,2.2996,0.010736
ZNF484,2.2988,0.010758
AQP7,2.2954,0.010854
CCDC88A,2.295,0.010865
ARPC1B,2.2937,0.010903
RTBDN,2.2937,0.010905
NCAM2,2.2935,0.010911
NACA2,2.2919,0.010956
COX7C,2.2895,0.011024
NUP54,2.2893,0.011031
PDAP1,2.2883,0.011061
ETFDH,2.2825,0.011229
LOC101060391,2.2777,0.011373
MRPS36,2.2764,0.011411
DCT,2.2741,0.011479
C4orf17,2.273,0.011513
COG5,2.2723,0.011534
SPINK4,2.2705,0.011588
KRT35,2.2704,0.011593
HBQ1,2.2703,0.011593
SEC14L3,2.2685,0.01165
CABIN1,2.2681,0.011662
MAN2B1,2.2646,0.01177
CXCL10,2.2626,0.011829
LTV1,2.2624,0.011835
ANKRD36C,2.2623,0.011839
AP2S1,2.2617,0.011858
SNX8,2.2591,0.01194
NME3,2.2587,0.011951
XRCC1,2.2576,0.011985
ETHE1,2.2564,0.012023
BCAP29,2.2534,0.012118
CXCL9,2.2506,0.012207
MYO5C,2.2502,0.012219
DSC1,2.2502,0.012219
TMEM71,2.2488,0.012264
MUSK,2.2486,0.012269
CDC42EP3,2.2486,0.012269
IFIT3,2.2463,0.012344
ASTL,2.2458,0.012359
CREG1,2.2457,0.012361
C5orf58,2.2439,0.012419
EIF2B3,2.2433,0.012438
CPSF4,2.2383,0.012599
PRSS58,2.2329,0.012779
MRPS34,2.231,0.01284
MAML2,2.2309,0.012845
REM1,2.2305,0.012858
DEFB118,2.2304,0.01286
LONP1,2.2289,0.012911
PC,2.2288,0.012914
FER1L5,2.2266,0.012987
ACVR2A,2.2259,0.013012
C12orf43,2.225,0.013041
CXCL11,2.2236,0.013087
CA10,2.2223,0.01313
NXT1,2.2223,0.013133
SLC29A1,2.222,0.01314
ENTPD3,2.2192,0.013237
SIGIRR,2.2177,0.013288
GOLT1B,2.2155,0.013362
LHFPL4,2.2118,0.013491
DHX57,2.2109,0.013521
PPID,2.2099,0.013555
GZF1,2.2088,0.013593
PTCD1,2.2076,0.013636
ZNF619,2.2063,0.013681
SLC2A13,2.2056,0.013705
PRL,2.2048,0.013734
TNKS2,2.2046,0.013742
