symbol,ZSTAT,P
TMEM240,2.3337,0.0098048
NCAM1,2.3334,0.009813
SSU72,2.3331,0.0098206
ATP1A3,2.3292,0.0099249
BAP1,2.3283,0.0099475
NT5C3A,2.3268,0.0099886
HYOU1,2.3219,0.010118
CRTC2,2.3198,0.010176
VPS11,2.3195,0.010185
RASAL3,2.3183,0.010217
ADH1C,2.3168,0.010257
DDX11,2.3131,0.010358
OR52E4,2.3097,0.010452
CBX4,2.3091,0.010468
CLDN23,2.3091,0.010468
TCEB3CL2,2.3036,0.010622
PHYHD1,2.3017,0.010675
SCNN1B,2.3011,0.010693
CFAP44,2.2968,0.010816
TTC38,2.2956,0.010848
OR52E8,2.2916,0.010964
MSH6,2.2897,0.01102
CYP4A11,2.2866,0.011109
PKDREJ,2.286,0.011127
FZD6,2.2771,0.011391
SLC30A5,2.2766,0.011405
DENND2A,2.2754,0.01144
DEFB132,2.2747,0.011463
RHOF,2.2743,0.011474
ANKAR,2.2727,0.011521
RAB13,2.27,0.011604
SPINT3,2.2687,0.011643
TEX264,2.2685,0.01165
BMPR1A,2.2682,0.011658
TFAP2B,2.2665,0.01171
PPCDC,2.2649,0.011758
MTMR10,2.2596,0.011922
FNIP2,2.2593,0.011933
LGALS9,2.2579,0.011976
SLC47A2,2.257,0.012004
SLC30A10,2.255,0.012067
EIF3E,2.252,0.01216
METTL8,2.2479,0.012291
DNAH1,2.2472,0.012312
AGXT2,2.2447,0.012393
VEZT,2.2416,0.012493
PCDH10,2.2416,0.012494
CELF4,2.2395,0.012561
ADAMTS18,2.2389,0.012582
DENND6B,2.236,0.012674
IMPA2,2.2358,0.012682
OR13C8,2.2352,0.012703
CDPF1,2.2297,0.012884
MFSD10,2.2295,0.012889
WFDC6,2.2294,0.012893
SETD1B,2.2293,0.012898
PHGR1,2.2291,0.012902
LMO3,2.2289,0.01291
CUEDC2,2.2263,0.012996
RNF40,2.2255,0.013022
ULK4,2.2197,0.013219
UGT2A2,2.2196,0.013224
HMBS,2.2195,0.013227
OR13C9,2.2174,0.013297
SRP54,2.2167,0.013324
CREB3L4,2.2166,0.013326
CFI,2.2153,0.013369
HLA-DMA,2.2145,0.013398
BRD2,2.2145,0.013398
HLA-DMB,2.2145,0.013398
TRIO,2.2126,0.013464
CACNG3,2.2123,0.013472
PAQR8,2.2117,0.013495
PTCH1,2.2088,0.013594
UBE2Q1,2.2075,0.01364
TMEM165,2.2041,0.01376
PANX3,2.2024,0.013817
EPPIN-WFDC6,2.2018,0.01384
FKBP9,2.1962,0.014039
AGPAT3,2.1934,0.014139
BANK1,2.1925,0.01417
WFDC10A,2.1901,0.014258
MICB,2.1873,0.014361
FGF1,2.1868,0.014378
GCC1,2.1864,0.014391
TMC7,2.1864,0.014392
SLC26A2,2.1854,0.014432
NTHL1,2.1844,0.014465
C15orf27,2.1802,0.014622
NPW,2.1778,0.014709
LOC100130451,2.1775,0.014723
AOC3,2.1744,0.014837
EPPIN,2.1709,0.014968
MCCD1,2.1678,0.015087
CHRNB2,2.1674,0.0151
SLC18A2,2.1673,0.015106
MORC1,2.1651,0.015189
BIN2,2.1642,0.015225
KBTBD11,2.1638,0.015241
ZRANB3,2.1636,0.015246
FLVCR1,2.1633,0.015259
ZNF781,2.1633,0.01526
SPG21,2.1618,0.015318
TCEA3,2.161,0.015348
LOC101927147,2.1581,0.01546
LGR4,2.1574,0.015487
OLFML1,2.1564,0.015525
PSG3,2.1552,0.015574
DENND4B,2.1547,0.015593
C22orf31,2.1526,0.015676
RANBP3L,2.1517,0.015711
SRPK2,2.1513,0.015727
SCMH1,2.1508,0.015745
LRRN4,2.1468,0.015905
USP5,2.1468,0.015907
NOX3,2.1466,0.015911
SOX13,2.1461,0.015933
FOXA1,2.145,0.015975
CHRNA6,2.1434,0.01604
ARHGAP28,2.1432,0.016049
WFDC9,2.1429,0.016061
PSG8,2.1426,0.016074
PDS5B,2.1425,0.016075
ATF2,2.1425,0.016077
NPHP4,2.1425,0.016077
TBC1D4,2.1418,0.016104
NUP155,2.1403,0.016166
NUP210L,2.1381,0.016253
USP31,2.1379,0.016263
CTNNA3,2.1362,0.01633
LOC101928058,2.1355,0.016362
BRPF3,2.1332,0.016454
LGALS13,2.1325,0.016484
CDKN2AIP,2.1302,0.016576
RHOJ,2.1296,0.016604
CTXN3,2.1232,0.016868
SCAMP5,2.1207,0.016975
RNF150,2.1187,0.017056
TRAT1,2.1183,0.017073
MRS2,2.1182,0.01708
SUPT3H,2.1158,0.017182
RNF17,2.1098,0.017437
ARFRP1,2.1091,0.017469
SLC4A8,2.1087,0.017484
SAP18,2.1087,0.017485
NOP14,2.1051,0.017641
THY1,2.1025,0.017754
HAUS3,2.1012,0.017813
