symbol,ZSTAT,P
SON,2.4538,0.007067
LRRC34,2.4515,0.0071133
CYP26B1,2.45,0.0071432
BPTF,2.4478,0.0071859
RPTOR,2.446,0.0072234
STAB1,2.4431,0.0072804
IRX1,2.4406,0.0073309
LRRIQ4,2.4381,0.0073814
WDR83,2.4361,0.0074224
FBXW9,2.4358,0.0074284
DHPS,2.4358,0.0074284
TM7SF3,2.4357,0.0074306
CCDC63,2.4327,0.0074941
ATAD2,2.4294,0.0075616
FCN2,2.4271,0.0076098
ZNF543,2.4178,0.0078071
TAGAP,2.4175,0.0078133
MYLK4,2.4167,0.0078303
NDUFAF3,2.4126,0.0079188
ALDH1B1,2.4117,0.0079396
DPH2,2.4098,0.0079812
ANP32C,2.4094,0.0079904
INSL5,2.4062,0.0080598
C12orf71,2.4051,0.008083
MYO5C,2.4023,0.0081456
CDRT15,2.4022,0.0081481
SLC37A4,2.4012,0.0081712
TOB1,2.3982,0.0082388
KIF1BP,2.398,0.0082426
BRIP1,2.3936,0.0083418
MUSTN1,2.3896,0.0084334
ENPP5,2.3875,0.0084825
C2CD2L,2.3854,0.0085311
TFDP1,2.3854,0.0085313
DIABLO,2.3842,0.0085576
PEX5,2.3837,0.00857
PXDC1,2.3812,0.0086282
WDR82,2.3798,0.0086616
CNOT3,2.3789,0.0086813
SERGEF,2.3782,0.0086994
IPO13,2.3767,0.008733
ARIH2,2.3766,0.0087355
INPPL1,2.3758,0.008755
ATP6V0B,2.3757,0.0087577
IMPDH2,2.3752,0.0087688
PLOD1,2.3672,0.0089615
NFX1,2.3671,0.0089633
CSNK1A1L,2.3657,0.0089981
NDUFA6,2.3595,0.009151
BAG1,2.3573,0.0092051
FOLR2,2.3563,0.0092301
ANKRD9,2.3471,0.0094608
ADRA2B,2.347,0.0094627
DUSP16,2.3446,0.0095241
B4GALT2,2.3429,0.0095669
COMMD9,2.3402,0.0096367
CCDC71,2.3399,0.0096439
LOC101060391,2.3375,0.0097071
CD8A,2.3356,0.0097551
LCN10,2.3346,0.0097829
CABP1,2.332,0.00985
C3orf84,2.3305,0.0098895
C4orf45,2.3304,0.0098937
DONSON,2.3256,0.010021
KRT18,2.3232,0.010083
NAGA,2.3165,0.010267
LCN6,2.3136,0.010346
SLC44A3,2.3131,0.010359
NINJ1,2.3118,0.010395
FSTL3,2.3103,0.010437
LOC101927029,2.3097,0.010453
WDR34,2.3087,0.01048
RIPPLY3,2.3084,0.010487
ARHGEF3,2.307,0.010528
PPM1L,2.2998,0.010729
LPPR3,2.2995,0.010737
ASTL,2.298,0.01078
MYOC,2.2979,0.010783
LMO7DN,2.2974,0.010799
SLC25A20,2.2956,0.010849
ZMAT5,2.2955,0.010853
SHPRH,2.2935,0.010909
CCDC36,2.2914,0.010969
IFT52,2.2899,0.011014
PGGT1B,2.2882,0.011064
POTEA,2.286,0.011128
SPTY2D1,2.2859,0.011131
FAM65B,2.2851,0.011152
H1FNT,2.2843,0.011178
OSCAR,2.2842,0.011179
MED21,2.2823,0.011237
SPEF2,2.2798,0.01131
DALRD3,2.2796,0.011316
C21orf2,2.2795,0.011317
IQCK,2.2793,0.011324
C17orf102,2.2753,0.011443
PDYN,2.275,0.011454
HCRTR2,2.2743,0.011474
MARCH3,2.2726,0.011524
COMP,2.2704,0.011593
SET,2.2681,0.011663
C19orf43,2.2672,0.011688
