parcellation,n_parcels,phenotype,score,n_target,diff,z_vs_null,p_spin
schaefer100,100,alphaCz,continuous,31,0.0042589041255864,1.5295746329813635,0.0712928707129287
schaefer100,100,alphaCz,top100,31,0.0728344540035842,1.185569912254363,0.1152884711528847
yan600,600,alphaCz,continuous,180,0.0038953160108158333,1.6366641661817873,0.05829417058294171
yan600,600,alphaCz,top100,180,0.04827836555553546,0.9363608490860558,0.20027997200279973
