phenotype,score,roi_set,n_target,mean_target,mean_rest,diff,null_mean,null_sd,z_vs_null,p_spin
alphaCz,continuous,full,82,0.00813258248851932,0.0022188108779395846,0.005913771610579735,0.002317769204745916,0.0029435737884451006,1.9754263700129608,0.021897810218978103
alphaCz,continuous,hub,6,0.010848076875427678,0.0034424088329752054,0.007405668042452473,0.002317070215510438,0.006919977972251857,1.232808354900172,0.11068893110688931
alphaCz,top100,full,82,0.04646639246263405,-0.01370591432351078,0.06017230678614483,-0.006528918576155472,0.029872780601023424,1.7740334167946166,0.030096990300969902
alphaCz,top100,hub,6,-0.06821480227348141,0.001156183089381029,-0.06937098536286244,-0.005925393753532481,0.09339932087336277,-0.6669150047076381,0.7297270272972702
